StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sample,JapanOrUS,ProlificID,prescreen1_18yrs,prescreen2_growupUSJapan,prescreen3_liveUSJapan,exclude,commitment,exclude_reason,consent,BeliefsTimeAloneOpen,beliefs_1,beliefs_2,beliefs_3,beliefs_4,beliefs_5,beliefs_6,BeliefsTotal,TimeFriends,TimeFamily,TimePartner,SocialContact,SocialContactReverse,Lonely_1,Lonely_2,Lonely_3R,Lonely_3,Lonely_4,Lonely_5,Lonely_6R,Lonely_6,Lonely_7,Lonely_8,Lonely,MedExp,RelMob_1,RelMob_2,RelMob_3,RelMob_4R,RelMob_4,RelMob_5R,RelMob_5,RelMob_6,RelMob_7R,RelMob_7,RelMob_8,RelMob_9R,RelMob_9,RelMob_10,RelMob_11R,RelMob_11,RelMob_12R,RelMob_12,RelMob,Tight_1,Tight_2,Tight_3,Tight_4R,Tight_4,Tight_5,Tight_6,Tight,VC_1,VC_2,VC_3,VC_4,VertColl,VI_1,VI_2,VI_3,VI_4,VertInd,HC_1,HC_2,HC_3,HC_4,HorizColl,HI_1,HI_2,HI_3,HI_4,HorizInd,Age,Gender,Race,Race_7_TEXT,Education
2023-07-21 10:20:14,2023-07-21 10:29:34,0,73.43.55.82,100,559,1,2023-07-21 10:29:34,R_2aFGBlByJa9YSCw,33.9955,-84.6581,anonymous,EN,4,US,62d59ac97348225e9c982905,1,1,1,0,1,,1,"For me, spending time alone depends quite a bit on the overall experience of the week or weeks, as well as the setting. After working at a job, for example, alone time when returning home feels like a great and positive experience allowing me to resume my hobbies and anything that interests me. But in other circumstances such as when in college but not really having people to do things with, being alone can become lonely. It can also become an overwhelming feeling of isolation, like there are people around but no one there. Over the summer months, I have experienced both the unpleasant feeling of being alone, because most of my friends are very far away, and the positive feeling of being alone that comes when I'm able to relax after work and enjoy myself. ",4,4,4,3,4,5,4,2,3,1,6,4,3,2,3,2,3,3,4,1,2,3,19,4,4,3,4,3,4,4,3,3,4,3,4,4,3,4,3,4,3,4,43,5,4,4,4,3,4,4,24,6,7,5,5,23,6,5,3,3,17,7,6,6,7,26,5,6,5,7,23,19,2,2,,3
2023-07-21 10:28:01,2023-07-21 10:36:27,0,68.80.93.19,100,506,1,2023-07-21 10:36:28,R_paQPuXvPu4St3Pz,39.9845,-75.586,anonymous,EN,4,US,63bf52e256cad83d6db29c1d,1,1,1,0,1,,1,"I enjoy spending time alone and think of it as a positive experience, but it is important to not feel isolated. Even as a person who enjoys being alone and having limited interactions with people it is good to feel that you are coexisting with a social body, like being an introvert living in the city where it is hard to feel isolated but easy to keep to yourself",6,5,6,6,4,6,5.5,2,3,2,7,3,2,1,2,3,3,2,4,1,1,4,17,2,5,4,5,2,5,3,4,4,2,5,5,4,3,5,2,5,2,5,55,4,4,4,3,4,5,5,26,6,6,4,7,23,6,4,4,4,18,6,7,4,8,25,9,7,8,6,30,20,1,1,,3
2023-07-21 10:30:05,2023-07-21 10:38:08,0,75.133.216.206,100,483,1,2023-07-21 10:38:08,R_2wac2NT42HI6Xm5,44.8165,-85.5808,anonymous,EN,4,US,5e73a3e6a3a80a069b53bc93,1,1,1,0,1,,1,"I enjoy spending time alone. I like my own company, and I am in complete control of the activities I do and what actions I take next. I can listen to music without speaking. If I wish to socialize, I can do so by reaching out through my phone. I can get lost in my imagination and mind (this is good but sometimes is detrimental). If I spend too much time alone, I find it difficult to remember how to interact with people, as if i’ve fallen out of practice. Sometimes, being alone with intense negative emotions makes it overwhelming to contain or cope with them, and this can lead to further isolation or embarrassment of how I acted (which also leads to withdrawing). Then, it’s a vicious cycle. Otherwise, being alone is what I prefer, and it gives me the energy I need to socially interact.",7,6,4,6,3,5,5.16666666666667,2,2,1,5,5,3,3,1,4,1,3,2,3,2,4,23,4,5,5,5,3,4,2,5,4,2,5,4,3,4,6,4,3,2,5,55,5,3,3,4,3,5,3,22,5,6,6,4,21,5,4,5,5,19,7,8,6,3,24,9,8,9,6,32,24,3,1,,1
2023-07-21 10:43:15,2023-07-21 10:49:24,0,96.59.1.158,100,368,1,2023-07-21 10:49:24,R_1QA91qfYqfE0fGr,28.2137,-82.6809,anonymous,EN,4,US,62162ab583fc823e78c025e2,1,1,1,0,1,,1,I definitely want alone time. It's almost essential to me. I interact with people all day and need to decompress. I feel like I recharge when I can self focus.,7,7,7,7,6,7,6.83333333333333,2,1,1,4,6,3,2,4,1,2,2,3,2,1,3,16,2,4,4,5,3,4,3,4,5,2,5,4,4,3,5,4,3,2,5,51,6,5,5,5,2,4,5,27,8,8,8,8,32,5,2,5,2,14,8,8,5,8,29,6,8,8,4,26,59,2,1,,3
2023-07-21 10:47:28,2023-07-21 10:55:28,0,24.154.6.36,100,479,1,2023-07-21 10:55:29,R_1opvnx9s6pzhvK3,40.7377,-79.8336,anonymous,EN,4,US,61083568004ce0ce70145650,1,1,1,0,1,,1,I enjoy spending time alone sometimes. I think it is a good way to decompress and relieve stress. ,6,5,5,4,3,4,4.5,3,3,3,9,1,1,1,4,1,2,2,4,1,1,1,10,3,5,5,5,2,5,2,5,5,2,5,5,2,5,5,2,5,2,5,60,4,4,4,5,2,4,4,22,7,7,7,6,27,7,7,6,6,26,4,7,7,6,24,8,6,6,7,27,28,2,1,,6
2023-07-21 10:51:05,2023-07-21 11:01:58,0,174.52.150.212,100,652,1,2023-07-21 11:01:59,R_tPuYzU2ScLxnorv,40.3942,-111.8483,anonymous,EN,4,US,63d183039a2a00eb93f82ecc,1,1,1,0,1,,1,"I am right in the middle. I like being alone to recharge. To re-think something on my mind. To do the hobbies I like to do, but no one else does.

But I like being with people 50% of the time. To have fun. To talk. To validate each other.",5,5,5,5,3,6,4.83333333333333,2,3,2,7,3,3,3,4,1,2,2,3,2,1,3,17,4,5,4,5,3,4,3,4,4,2,5,5,3,4,4,3,4,3,4,52,6,6,5,5,2,6,6,31,3,1,3,3,10,7,3,5,6,21,7,8,4,7,26,8,6,8,6,28,45,1,1,,5
2023-07-21 10:51:43,2023-07-21 11:06:17,0,107.115.29.18,100,874,1,2023-07-21 11:06:18,R_Cgp5TFvnK6ZYOiJ,37.8051,-122.272,anonymous,EN,4,US,5e6bdd2a3ea572199bb7f6b6,1,1,1,0,1,,1,"Spending time alone is a very positive and preferred experience (especially for a reader).  I do like spending time with others, but in small doses and for limited periods of time.  My partner and I both traveled on business a lot and he maintained two other homes in states where he did a lot of business.  We probably spent about 7 days a month together.  It was perfect.",7,5,7,7,5,5,6,2,2,1,5,5,2,1,3,2,2,2,3,2,2,2,15,2,5,4,3,2,5,2,5,4,4,3,4,4,3,4,3,4,3,4,48,4,3,3,4,3,4,3,20,6,8,6,4,24,6,1,3,6,16,7,6,4,6,23,8,7,8,9,32,62,2,1,,4
2023-07-21 10:54:55,2023-07-21 11:08:50,0,45.36.170.1,100,835,1,2023-07-21 11:08:51,R_w7ep9qapovxNm01,36.002,-80.0004,anonymous,EN,4,US,5f500550ad48ba16ff920279,1,1,1,0,1,,1,"Generally speaking, I do not have a lot of time alone. I am a husband and father of 4 children. Every so often I have time alone and it is generally a positive experience. I had some yesterday and I used it to clean up and also listen to a podcast. Then I watched some television and cooked myself dinner. It was enjoyable to me and a positive experience. I remember when I did not have a wife or children, and in general my time alone was positive then, but I also spent lots of time with friends.",7,7,7,7,7,7,7,3,3,3,9,1,1,1,4,1,1,1,4,1,1,1,8,2,6,6,5,2,5,1,6,5,1,6,6,2,5,6,1,6,1,6,68,4,4,3,4,3,5,3,22,8,9,9,5,31,7,5,5,1,18,8,9,8,8,33,9,8,5,7,29,42,1,4,,3
2023-07-21 10:56:32,2023-07-21 11:10:26,0,174.106.144.160,100,833,1,2023-07-21 11:10:26,R_1hMeUNXF1NC65js,34.4344,-77.9234,anonymous,EN,4,US,5d54d5d907e8740018e56545,1,1,1,0,1,,1,"I haven’t always been alone, but after the death of my husband 6 years ago I have been alone a large majority of the time. Several of my closest friends have passed away too and that only made my situation worse. I feel that people need time away from others in order to fully understand who you are, what you want from your life, and how you truly feel about the world around you and the people living in it that you encounter. You have to know yourself before you can begin to understand others.",6,6,6,6,5,6,5.83333333333333,2,2,1,5,5,3,3,4,1,3,3,2,3,2,4,22,2,4,5,6,5,2,2,5,5,2,5,3,4,3,5,4,3,4,3,49,5,5,5,6,1,5,4,25,8,6,4,6,24,6,4,8,2,20,6,7,4,6,23,8,9,9,9,35,59,2,1,,3
2023-07-21 10:59:09,2023-07-21 11:09:27,0,67.84.53.76,100,617,1,2023-07-21 11:09:28,R_aa40dNhy2wYVprr,41.185,-73.2,anonymous,EN,4,US,64430cf8bad1f94b63d5050e,1,1,1,0,1,,1,"I think time alone can be both positive and negative.  There are times when we all need time alone, to unwind and destress.  Sometimes we need to be alone.  I have certainly experienced times where I wanted to and needed to be alone to just rest, unwind and destress.  Other times being alone can feel lonely for sure.  When those times arise, it can certainly feel like a negative experience.",4,4,3,3,3,4,3.5,1,3,1,5,5,3,3,2,3,3,3,3,2,3,3,23,1,4,3,5,4,3,3,4,4,4,3,3,4,3,4,3,4,4,3,43,6,5,2,6,1,6,1,21,8,9,9,1,27,8,2,7,5,22,6,6,7,8,27,7,6,5,6,24,45,2,3,,3
