task,trial,item,order,score
Strange Stories,1,2,1,2
Strange Stories,1,7,2,2
Strange Stories,1,5,3,2
Strange Stories,1,3,4,2
Strange Stories,1,6,5,2
Strange Stories,1,1,6,1
Strange Stories,1,8,7,2
Strange Stories,1,4,8,1
Strange Stories,2,8,1,2
Strange Stories,2,7,2,2
Strange Stories,2,6,3,2
Strange Stories,2,1,4,2
Strange Stories,2,5,5,2
Strange Stories,2,3,6,2
Strange Stories,2,2,7,2
Strange Stories,2,4,8,1
Strange Stories,3,4,1,1
Strange Stories,3,3,2,2
Strange Stories,3,5,3,2
Strange Stories,3,6,4,2
Strange Stories,3,2,5,2
Strange Stories,3,1,6,1
Strange Stories,3,7,7,2
Strange Stories,3,8,8,2
Strange Stories,4,2,1,2
Strange Stories,4,3,2,2
Strange Stories,4,4,3,2
Strange Stories,4,8,4,2
Strange Stories,4,5,5,2
Strange Stories,4,6,6,2
Strange Stories,4,7,7,2
Strange Stories,4,1,8,1
Strange Stories,5,6,1,2
Strange Stories,5,1,2,2
Strange Stories,5,8,3,2
Strange Stories,5,3,4,2
Strange Stories,5,7,5,2
Strange Stories,5,4,6,2
Strange Stories,5,2,7,2
Strange Stories,5,5,8,2
Strange Stories,6,6,1,2
Strange Stories,6,1,2,2
Strange Stories,6,4,3,2
Strange Stories,6,2,4,2
Strange Stories,6,8,5,2
Strange Stories,6,5,6,2
Strange Stories,6,3,7,2
Strange Stories,6,7,8,2
Strange Stories,7,8,1,2
Strange Stories,7,5,2,2
Strange Stories,7,1,3,1
Strange Stories,7,4,4,1
Strange Stories,7,6,5,2
Strange Stories,7,3,6,2
Strange Stories,7,7,7,2
Strange Stories,7,2,8,2
Strange Stories,8,8,1,2
Strange Stories,8,1,2,1
Strange Stories,8,5,3,2
Strange Stories,8,3,4,2
Strange Stories,8,7,5,2
Strange Stories,8,2,6,2
Strange Stories,8,6,7,2
Strange Stories,8,4,8,2
Strange Stories,9,6,1,2
Strange Stories,9,3,2,1
Strange Stories,9,8,3,2
Strange Stories,9,5,4,2
Strange Stories,9,1,5,1
Strange Stories,9,4,6,2
Strange Stories,9,2,7,2
Strange Stories,9,7,8,2
Strange Stories,10,2,1,2
Strange Stories,10,3,2,2
Strange Stories,10,8,3,2
Strange Stories,10,7,4,2
Strange Stories,10,1,5,2
Strange Stories,10,4,6,2
Strange Stories,10,6,7,2
Strange Stories,10,5,8,2
Strange Stories,11,1,1,1
Strange Stories,11,3,2,2
Strange Stories,11,5,3,2
Strange Stories,11,6,4,2
Strange Stories,11,2,5,2
Strange Stories,11,4,6,2
Strange Stories,11,8,7,2
Strange Stories,11,7,8,2
Strange Stories,12,8,1,2
Strange Stories,12,4,2,2
Strange Stories,12,3,3,1
Strange Stories,12,7,4,2
Strange Stories,12,1,5,1
Strange Stories,12,6,6,2
Strange Stories,12,2,7,2
Strange Stories,12,5,8,2
Irony,1,12,1,0
Irony,1,11,2,1
Irony,1,10,3,1
Irony,1,9,4,1
Irony,1,8,5,1
Irony,1,7,6,1
Irony,1,6,7,1
Irony,1,5,8,1
Irony,1,4,9,1
Irony,1,3,10,1
Irony,1,2,11,1
Irony,1,1,12,1
Irony,2,5,1,1
Irony,2,12,2,0
Irony,2,3,3,1
Irony,2,6,4,1
Irony,2,7,5,1
Irony,2,9,6,1
Irony,2,1,7,1
Irony,2,11,8,1
Irony,2,4,9,1
Irony,2,2,10,1
Irony,2,8,11,1
Irony,2,10,12,1
Irony,3,9,1,0
Irony,3,7,2,0
Irony,3,12,3,0
Irony,3,6,4,1
Irony,3,4,5,1
Irony,3,11,6,1
Irony,3,8,7,1
