CASE;QUESTNNR;MODE;STARTED;GR01_01;GR01_02;GR01_03;GR01_04;GR01_05;GR01_06;GR01_07;IN03;IV01_01;IV04_01;IV04_02;IV03_01;SC04_01;SC04_02;SC05_01;SC05_02;SC06_01;SC06_02;SC07_01;SC07_02;SC08_01;SC08_02;SC09_01;SC09_02;SC10_01;SC10_02;SC11_01;SC11_02;SC12_01;SC12_02;SC13_01;SC13_02;TIME001;TIME002;TIME003;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;Age;Sex
785;short;interview;11.12.2023 16:34;4;3;1;4;4;2;1;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;4;NA;NA;NA;NA;7;6;34;36;NA;3;NA;NA;NA;NA;86;NA;11.12.2023 16:35;1;0;7;7;0;0;1,09;42;Female
848;short;interview;11.12.2023 16:48;4;3;3;4;4;2;3;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;5;NA;NA;NA;NA;NA;NA;5;2;NA;115;13;4;NA;NA;NA;NA;139;NA;11.12.2023 16:50;1;0;7;7;0;0;1,53;35;Female
610;long;interview;09.12.2023 16:19;2;1;3;1;1;1;1;1;greedfirst;sc1sc3sc4sc2random2;SC13SC05SC08SC06;Large;NA;NA;8;8;6;6;NA;NA;7;7;NA;NA;7;7;NA;NA;NA;NA;10;10;26;3;27;24;21;11;25;20;NA;7;164;NA;09.12.2023 16:22;1;0;11;11;0;0;1,26;50;Male
649;long;interview;09.12.2023 16:22;1;1;4;4;5;1;1;1;greedlast;sc4sc2sc3sc1random2;SC09SC13SC04SC06;Small;1;3;NA;NA;1;1;NA;NA;NA;NA;8;8;NA;NA;1;11;NA;NA;1;6;4;3;NA;11;9;14;10;9;13;87;82;NA;09.12.2023 16:24;1;0;11;11;0;0;2,02;27;Female
754;short;interview;11.12.2023 16:26;4;3;3;2;3;4;3;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;9;NA;NA;NA;NA;NA;NA;4;5;NA;8;14;3;NA;NA;NA;NA;34;NA;11.12.2023 16:26;1;0;7;7;0;0;1,92;28;Female
597;long;interview;09.12.2023 16:18;2;3;1;2;1;2;2;1;greedfirst;sc4sc1sc2sc3random2;SC07SC09SC04SC12;Small;8;4;NA;NA;NA;NA;10;10;NA;NA;8;10;NA;NA;11;11;8;10;NA;NA;7;9;48;77;45;59;31;37;NA;4;317;NA;09.12.2023 16:24;1;0;11;11;0;0;0,82;56;Male
463;long;interview;09.12.2023 16:05;1;1;2;2;2;1;2;1;greedfirst;sc4sc1sc2sc3random2;SC07SC05SC12SC08;Large;NA;NA;9;8;NA;NA;7;7;6;6;NA;NA;6;7;NA;NA;1;1;NA;NA;406;4;30;21;18;16;20;159;NA;14;154;NA;09.12.2023 16:16;1;0;11;11;0;0;0,97;DATA_EXPIRED;Female
640;long;interview;09.12.2023 16:21;3;4;4;4;4;2;1;1;greedfirst;sc1sc4sc3sc2random2;SC13SC07SC08SC04;Large;3;3;NA;NA;NA;NA;2;2;3;3;NA;NA;3;3;NA;NA;NA;NA;4;3;282;283;14;79;9;11;18;10;NA;10;165;NA;09.12.2023 16:33;1;0;11;11;0;0;1,31;40;Male
583;long;interview;09.12.2023 16:17;4;2;4;4;4;2;5;1;greedfirst;sc2sc1sc4sc3random2;SC05SC09SC06SC12;Small;NA;NA;8;9;8;9;NA;NA;NA;NA;5;7;NA;NA;4;5;2;2;NA;NA;5;3;30;24;47;24;28;17;NA;7;185;NA;09.12.2023 16:20;1;0;11;11;0;0;1,21;29;Male
424;long;interview;09.12.2023 15:59;5;4;5;5;5;5;5;1;greedfirst;sc2sc4sc1sc3random2;SC09SC07SC04SC12;Small;9;7;NA;NA;NA;NA;1;1;NA;NA;1;1;NA;NA;1;1;1;1;NA;NA;42;5;13;14;22;12;9;13;NA;3;133;NA;09.12.2023 16:01;1;0;11;11;0;0;1,82;30;Female
981;short;interview;11.12.2023 17:06;5;4;4;4;1;4;4;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;2;NA;NA;NA;NA;NA;NA;9;18;NA;31;20;8;NA;NA;NA;NA;86;NA;11.12.2023 17:07;1;0;7;7;0;0;0,8;64;Female
1246;short;interview;11.12.2023 17:28;5;4;5;4;4;2;4;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;NA;NA;NA;NA;NA;NA;13;15;NA;44;25;10;NA;NA;NA;NA;107;NA;11.12.2023 17:30;1;0;7;7;0;0;0,63;36;Female
660;long;interview;09.12.2023 16:22;3;4;5;3;4;3;3;1;greedfirst;sc4sc1sc2sc3random2;SC07SC13SC08SC04;Large;1;2;NA;NA;NA;NA;7;6;1;3;NA;NA;1;2;NA;NA;NA;NA;6;5;7;10;70;31;19;30;38;53;NA;26;284;NA;09.12.2023 16:27;1;0;11;11;0;0;0,73;37;Male
