SubjectID Age Gender Handness moralSelfShape immoralSelfShape moralOtherShape immoralOtherShape matchKey mismatchKey Block Bin Trial Identity Morality Match RT ResponseKey Accuracy
7330 22 female R P Tra C S N M 1 1 1 other immoral nonmatch 1.0841 NA -1
7330 22 female R P Tra C S N M 1 1 2 self immoral match 0.7005 M 0
7330 22 female R P Tra C S N M 1 1 3 self moral nonmatch 1.0841 NA -1
7330 22 female R P Tra C S N M 1 1 4 other immoral nonmatch 0.6261 M 1
7330 22 female R P Tra C S N M 1 1 5 self moral match 0.9246 N 1
7330 22 female R P Tra C S N M 1 1 6 self immoral nonmatch 0.8235 M 1
7330 22 female R P Tra C S N M 1 1 7 other moral match 0.4901 N 1
7330 22 female R P Tra C S N M 1 1 8 other immoral nonmatch 0.6204 M 1
7330 22 female R P Tra C S N M 1 1 9 self immoral match 0.6709 M 0
7330 22 female R P Tra C S N M 1 1 10 other moral nonmatch 1.0094 N 0
7330 22 female R P Tra C S N M 1 1 11 other moral nonmatch 1.0841 NA -1
7330 22 female R P Tra C S N M 1 1 12 other moral match 0.6143 N 1
7330 22 female R P Tra C S N M 1 1 13 self moral nonmatch 0.6809 M 1
7330 22 female R P Tra C S N M 1 1 14 other immoral match 0.8193 N 1
7330 22 female R P Tra C S N M 1 1 15 self moral nonmatch 0.6138 M 1
7330 22 female R P Tra C S N M 1 1 16 self moral match 0.4882 N 1
7330 22 female R P Tra C S N M 1 1 17 self moral match 0.4747 N 1
7330 22 female R P Tra C S N M 1 1 18 other immoral match 0.7012 N 1
7330 22 female R P Tra C S N M 1 1 19 self immoral match 0.5356 M 0
7330 22 female R P Tra C S N M 1 1 20 other moral nonmatch 0.6181 M 1
7330 22 female R P Tra C S N M 1 1 21 other moral match 0.5967 N 1
7330 22 female R P Tra C S N M 1 1 22 self immoral nonmatch 0.6311 M 1
7330 22 female R P Tra C S N M 1 1 23 other immoral match 0.6415 N 1
7330 22 female R P Tra C S N M 1 1 24 self immoral nonmatch 0.7561 N 0
7330 22 female R P Tra C S N M 1 2 1 self immoral match 1.0841 NA -1
7330 22 female R P Tra C S N M 1 2 2 other moral match 0.6132 N 1
7330 22 female R P Tra C S N M 1 2 3 other moral match 0.7276 N 1
7330 22 female R P Tra C S N M 1 2 4 other immoral nonmatch 1.0841 NA -1
7330 22 female R P Tra C S N M 1 2 5 other immoral match 0.5967 N 1
7330 22 female R P Tra C S N M 1 2 6 self immoral nonmatch 1.0841 NA -1
7330 22 female R P Tra C S N M 1 2 7 other immoral match 0.5296 N 1
7330 22 female R P Tra C S N M 1 2 8 other immoral match 0.9801 M 0
