"climate","romantic","Temperature","Temperature_log"
"热带","2",36.75,3.60413822565885
"寒温带","1",35.4,3.56671182013973
"寒温带","1",35.1,3.55820113047182
"寒温带","1",35.95,3.58212908416706
"温带","1",36.08333333,3.58583107812211
"寒温带","1",35.6,3.57234563785798
"寒温带","1",35.4,3.56671182013973
"寒温带","2",35.8,3.57794789340665
"寒温带","2",35.85,3.57934356704563
"寒温带","2",35.6,3.57234563785798
"热带","1",35.85,3.57934356704563
"寒温带","2",36,3.58351893845611
"寒温带","1",36.45,3.59594145845467
"温带","1",36.3,3.5918177412708
"热带","1",36.1,3.58629286533884
"寒温带","2",36.15,3.58767694860477
"热带","2",35.5,3.56953269648137
"寒温带","1",36.6,3.60004824040732
"热带","1",36.6,3.60004824040732
"寒温带","2",36.8,3.60549784517489
"寒温带","2",35.75,3.57655026914002
"温带","1",36,3.58351893845611
"温带","2",36.2,3.58905911883173
"寒温带","1",36.25,3.59043938130068
"温带","1",36.6,3.60004824040732
"寒温带","1",38.4,3.64805745959368
"寒温带","1",36.05,3.58490686373096
"寒温带","2",36.15,3.58767694860477
"寒温带","1",36.5,3.59731226058845
"温带","1",36.5,3.59731226058845
"寒温带","1",36.75,3.60413822565885
"寒温带","2",36.45,3.59594145845467
"寒温带","1",36.45,3.59594145845467
"寒温带","1",35.3,3.56388296393925
"寒温带","2",35.65,3.57374914686031
"寒温带","1",36.75,3.60413822565885
"温带","1",35.45,3.56812325297814
"热带","1",36.55,3.59868118619579
"温带","1",36.9,3.60821155104648
"寒温带","1",35.25,3.56246552925828
"温带","2",36.36111111,3.59349982742323
"温带","1",36.63,3.60086757679072
"寒温带","2",35.85,3.57934356704563
"温带","1",36,3.58351893845611
"热带","2",36.55,3.59868118619579
"寒温带","2",35.45,3.56812325297814
"寒温带","1",35.5,3.56953269648137
"寒温带","1",35.95,3.58212908416706
"温带","1",36.35,3.59319420397953
"热带","2",36.45,3.59594145845467
"温带","1",36.63,3.60086757679072
"温带","1",36.725,3.60345772205994
"寒温带","1",36.9,3.60821155104648
"温带","1",37.25,3.61765194482557
"温带","1",35.85,3.57934356704563
"热带","1",36.35,3.59319420397953
"寒温带","1",36.465,3.5963528964362
"温带","1",37.055555555,3.61241828800447
"寒温带","2",35.75,3.57655026914002
"寒温带","1",36.45,3.59594145845467
"寒温带","1",36.7,3.60277675506052
"寒温带","1",36.85,3.60685561863535
"温带","1",36,3.58351893845611
"寒温带","1",36.2,3.58905911883173
"温带","2",36.33333333,3.59273559346929
"寒温带","1",36.45,3.59594145845467
"寒温带","1",36.5,3.59731226058845
"寒温带","1",36.65,3.60141342833266
"寒温带","1",36.95,3.60956564739421
"温带","1",35.7,3.57515068878559
"寒温带","1",36.3,3.5918177412708
"温带","1",36.5,3.59731226058845
"寒温带","1",36.535,3.59827070524318
"寒温带","2",36.65,3.60141342833266
"寒温带","1",36.85,3.60685561863535
"寒温带","2",35.95,3.58212908416706
"温带","1",36.25,3.59043938130068
"寒温带","2",36.55,3.59868118619579
"热带","2",36.65,3.60141342833266
"寒温带","1",36.7,3.60277675506052
"温带","2",36.95,3.60956564739421
"热带","1",36.25,3.59043938130068
"热带","1",36.5,3.59731226058845
"寒温带","1",36.55,3.59868118619579
"寒温带","2",35.4,3.56671182013973
"寒温带","1",36.1,3.58629286533884
"热带","2",36.1,3.58629286533884
"温带","2",36.15,3.58767694860477
"寒温带","1",36.25,3.59043938130068
"温带","1",36.25,3.59043938130068
"寒温带","1",36.35,3.59319420397953
"寒温带","1",36.35,3.59319420397953
"热带","1",36.35,3.59319420397953
"寒温带","1",36.45,3.59594145845467
"寒温带","1",36.5,3.59731226058845
"寒温带","1",36.55,3.59868118619579
"寒温带","1",36.625,3.60073106733723
"寒温带","1",36.9,3.60821155104648
"寒温带","1",36.95,3.60956564739421
"寒温带","2",36.95,3.60956564739421
"寒温带","1",36.95,3.60956564739421
"寒温带","2",35.75,3.57655026914002
"寒温带","1",36.1,3.58629286533884
"寒温带","1",36.2,3.58905911883173
"寒温带","2",36.25,3.59043938130068
"寒温带","1",36.3,3.5918177412708
"寒温带","1",36.5,3.59731226058845
"寒温带","1",36.55,3.59868118619579
"寒温带","1",36.65,3.60141342833266
"寒温带","1",36.7,3.60277675506052
"寒温带","1",35.1,3.55820113047182
"寒温带","1",36.4,3.5945687746427
"寒温带","1",36.4,3.5945687746427
"温带","1",36.9,3.60821155104648
"温带","1",35.95,3.58212908416706
"温带","1",36,3.58351893845611
"热带","2",36.2,3.58905911883173
"温带","2",36.35,3.59319420397953
"寒温带","1",36.35,3.59319420397953
"温带","2",36.416666665,3.59502654526182
"温带","1",36.45,3.59594145845467
"寒温带","1",36.5,3.59731226058845
"温带","1",36.55,3.59868118619579
"寒温带","1",36.6,3.60004824040732
"温带","1",36.85,3.60685561863535
"寒温带","1",35.3,3.56388296393925
"温带","1",35.7,3.57515068878559
"寒温带","1",35.7,3.57515068878559
"温带","1",35.9,3.58073729549423
"寒温带","1",36.1,3.58629286533884
"温带","1",36.16666667,3.58813788440457
"温带","1",36.25,3.59043938130068
"寒温带","1",36.75,3.60413822565885
"寒温带","1",36.85,3.60685561863535
"寒温带","1",35.15,3.55962461825667
"寒温带","1",36.05,3.58490686373096
"寒温带","2",36.1,3.58629286533884
"温带","1",36.2,3.58905911883173
