PublicationDate,Source,Coder_1,Coder_2,TieBreaker,ArticleTitle
"Dec 24, 2021",New York Times,0,0,0,Isolation Time Is Reduced For Health Care Workers: [National Desk]
"Nov 8, 2021",Wall Street Journal (Online),0,0,0,Nicaragua's President Ortega on Track for Controversial Fourth Term; Daniel Ortega's triumph would deepen country's isolation and risk increasing a migrant exodus to the U.S.
"Dec 16, 2021",Los Angeles Times,0,0,0,"THE CRAFT; Listen for their emotions; The intimacy of the acting alone is moving, but the stripped-down audio enhances the family's feelings that play out in 'CODA.'"
"Dec 28, 2021",New York Times,0,0,0,Isolation Period Cut to Five Days for the Less Ill: [National Desk]
"Dec 28, 2021",The Washington Post,0,0,0,"CDC cuts isolation, quarantine time for those with asymptomatic infections"
"Dec 28, 2021",The Washington Post,0,0,0,ACC shortens isolation time; others could follow suit
"Dec 29, 2021",The Washington Post,0,0,0,Societal function drove CDC's call to cut isolation time
"Jan 3, 2022",USA TODAY,0,0,0,Fauci: CDC may alter rules for isolation
"Jan 24, 2022",Wall Street Journal (Online),0,0,0,"How to Wear Cutout Dresses in the Dead of Winter; Women are rebelling against sweatpants and solitude with fashions by designers like Nensi Dojaka that flash skin in unconventional ways. But January isn't conducive to revealing clothes. Here, tricks for layering these expressive styles and avoiding undue exposure."
"Jan 28, 2022",Star Tribune,0,0,0,NATURE NOTES: FRESH TRACKS AND THE SOLITARY RED FOX
"Feb 11, 2022",Wall Street Journal (Online),0,0,0,"Forget Faster and Stronger. The Winter Olympics Are Sadder, Quieter, Scarier. Isolation rooms, fears of positive Covid-19 tests and the absence of cheering crowds are squeezing all the joy from the Beijing Games"
"Feb 22, 2022",The Washington Post,0,0,0,Johnson lays out plan for living with covid as queen remains in isolation
"Apr 17, 2022",Wall Street Journal (Online),0,0,0,"Inside a Shanghai Mass Quarantine Center: No Showers, Lights On 24/7; Almost three weeks of forced isolation after a positive Covid-19 test made Jane Polubotko, a Ukrainian, feel like a 'Covid criminal'"
"May 21, 2022",The Washington Post,0,0,0,Puzzled by this solitary take
"Feb 2, 2022",The Washington Post,0,0,0,"Bobsledder, family in isolation, hoping for negative tests"
"Jan 12, 2020",Los Angeles Times,0,0,0,A LONG-DISTANCE ISOLATION PLAY; Harrick is still in the game but boxed out from UCLA
"Mar 2, 2020",Star Tribune,0,0,0,"PASTOR READY FOR 'TIME ALONE WITH GOD': BOB MERRITT OVERSAW EXPLOSION OF ONE OF NATION'S FIRST, AND LARGEST, MEGACHURCHES"
"Mar 14, 2020",New York Times,0,0,0,"Gloves, Masks, Isolation Rooms and Strict Rules: [Foreign Desk]"
"Mar 19, 2020",Wall Street Journal (Online),0,0,0,"Impossible Foods CEO on Running a $4 Billion Startup From Children's Bedroom; Pat Brown does job through 'tiny portal,' combats isolation as coronavirus spreads"
"Mar 20, 2020",Newsday,0,0,0,NYCFC member in isolation
"Mar 25, 2020",NewsDay,0,0,0,No self-isolation for ED: Minister
"Apr 7, 2020",Wall Street Journal (Online),0,0,0,"World's Wealthy Tap Personal Ventilators, On-Demand Doctors to Fight Coronavirus; Demand rises for bespoke medical services, luxury isolation spots and vital equipment"
"Apr 16, 2020",Los Angeles Times,0,0,0,"CITY &amp; STATE; Despite guidelines, some find sun's pull irresistible; Beautiful weather coaxes some out of stay-at-home isolation and off to the beach."
"Apr 17, 2020",USA TODAY,0,0,0,Protests erupt over isolation orders
"Apr 22, 2020",USA TODAY,0,0,0,Chris Cuomo comes out of coronavirus isolation
"Apr 23, 2020",Los Angeles Times,0,0,0,"PERSPECTIVES; Shaky North Korean rumor mill churns again; The nation's isolation breeds endless speculation, this time about Kim's health."
"Apr 24, 2020",NewsDay,0,0,0,‘Broke’ govt cuts isolation period
"Apr 30, 2020",Newsday,0,0,0,Here's how to care for your idle car during self-isolation
"May 10, 2020",Tampa Bay Times,0,0,0,You’re not alone. Now it’s time to start a training routine that will help you and your pet acclimate
"May 11, 2020",Los Angeles Times,0,0,0,"MOVIE REVIEW; Captivating experiment in isolation; The doc 'Spaceship Earth' is a layered, absorbing account of the Biosphere 2 study."
"May 13, 2020",NewsDay,0,0,0,Returnees to leave isolation without COVID-19 test results
"May 16, 2020",Tampa Bay Times,0,0,0,A battle over life ends in solitude: A woman at the center of a guardianship case dies after contracting COVID-19 in a facility
"May 16, 2020",NewsDay,0,0,0,"Govt to use warehouses, churches as isolation centres"
"May 24, 2020",New York Times,0,0,0,"Rafael Leonardo Black, Solitary and Self-Trained Artist, Dies at 71 [With graphic(s)]"
"May 24, 2020",Chicago Tribune,0,0,0,How to stay excited about fashion during isolation
"May 24, 2020",New York Times,0,0,0,19th-Century Fears Gave Rise to Islands of Isolation: [Real Estate Desk]
"May 27, 2020",USA TODAY,0,0,0,Fight shutdown isolation with smart speakers
"May 29, 2020",NewsDay,0,0,0,19 returnees escape from Gweru isolation facility
"Jun 23, 2020",Wall Street Journal (Online),0,0,0,"Shea Whigham Went Out on a Limb to Find His Calling; The 'Perry Mason' actor was injured climbing a tree at age 12, leading to isolation, books and sensitivity"
"Jul 1, 2020",Wall Street Journal (Online),0,0,0,How Chloe x Halle Turned Their Tennis Court Into An Award Show Arena; How the young R&amp;B duo crafted performances during isolation that are a lot grander than just singing into a webcam
"Jul 10, 2020",Chicago Tribune,0,0,0,"Watching 'Alone' from the couch, perfect for our times"
"Jul 23, 2020",Wall Street Journal (Online),0,0,0,"Taylor Swift's New Album 'Folklore' Is Making a Surprise Debut; Pop star caught fans and music business off guard when she announced her eighth studio album, which she says was written and recorded ""in isolation"""
"Aug 1, 2020",Chicago Tribune,0,0,0,College students receive a tweak: Can begin isolation at home if coming to city from hot spot
"Aug 13, 2020",Wall Street Journal (Online),0,0,0,Should You Wear a Watch if There's No One to Impress? Fans insist a timepiece is still helpful while you're working from home. Other men consider sporting tickers in solitude a waste of time. We argue both sides.
"Sep 1, 2020",Wall Street Journal (Online),0,0,0,"Real Estate Is Now About Location, Location, Isolation; Valuations are holding up for all-new reasons"
"Sep 17, 2020",Chicago Tribune,0,0,0,"As playoffs near, so does bubble: Isolation could create even more challenges for Cubs players"
"Sep 22, 2020",Tampa Bay Times,0,0,0,"Norvell not letting isolation silence him: The FSU coach, who tested positive for the coronavirus, uses technology to keep leading ’Noles"
"Oct 16, 2020",Wall Street Journal (Online),0,0,0,"Working From Home Got You Down? Try Dyeing Your Hair Pink; After months of isolation, women look to the future by adopting extreme hairstyles—think drastic chops and rainbow dye jobs"
"Nov 6, 2020",NewsDay,0,0,0,Church donates to COVID-19 isolation centre
"Nov 16, 2020",Wall Street Journal (Online),0,0,0,'Live Drugs' by the War on Drugs and 'Idiot Prayer: Nick Cave Alone at Alexandra Palace' by Nick Cave Reviews: When In-Person Is Impossible; A pair of live albums remind listeners of the power of rock concerts at a time when none are to be found.
"Nov 29, 2020",New York Times,0,0,0,Should Isolation Periods Be Shorter for People With COVID-19?
"Dec 25, 2020",New York Times,0,0,0,"Symptoms Now Gone, Macron Ends His Isolation: [Foreign Desk]"
"Apr 3, 2021",The Washington Post,0,0,0,"Are you a Brood X cicada, or just someone emerging from pandemic isolation?"
"Apr 15, 2021",Wall Street Journal (Online),0,0,0,"Hosting a Dinner? Try Matching Your Dress to Your Plates; After a year of isolation, entertaining at home is finally possible, and some women are rising to the occasion by matching their outfits to their table settings. Brands like Off-White and La DoubleJ are zealously catering to the trend."
"Apr 26, 2021",Chicago Tribune,0,0,0,2 Southland districts that increased in-person learning see rise in COVID-19 isolations
"May 10, 2021",Los Angeles Times,0,0,0,A quirky outpost of isolation is no bulwark against pandemic; Even 'last free place in America' couldn't stand up to COVID
"Jun 13, 2021",Wall Street Journal (Online),0,0,0,Stupefying Summer Small Talk; Covid isolation got you tongue-tied? Here are tips for getting the hot air flowing again.
"Jul 11, 2021",Los Angeles Times,0,0,0,"A VITAL, SOLITARY ART; Patience and a knack for storytelling are the hallmarks of a film editor. From first exposure on, here's what you need to know."
"Jun 9, 2022",Wall Street Journal (Online),0,0,0,"Vanished Chinese Billionaire Set to Face Criminal Trial in Shanghai; Tomorrow Group founder Xiao Jianhua has been kept largely in isolation in mainland China since he was taken from Hong Kong in 2017, say people familiar with the matter"
"Jun 11, 2022",New York Times,0,0,0,A Solitary Critic on 'Zero Covid': [Business/Financial Desk]
"Aug 3, 2022",Wall Street Journal (Online),0,0,0,"Colleges Scale Back Covid Precautions for Fall, Saying Pandemic Phase Over; Requirements for masking, testing, vaccinations and isolation decrease even as virus surges"
"Aug 5, 2022",New York Times,0,0,0,"Albert Woodfox, Survivor of 42 Years in Solitary Confinement, Dies at 75"
"Aug 6, 2022",New York Times,0,0,0,"Albert Woodfox, 75, Who Spent 42 Years In Solitary, Is Dead: [Biography]"
"Aug 23, 2022",Los Angeles Times,0,0,0,MOVIE REVIEW; Isolation drama is one big snooze; 'Immaculate Room' can't overcome the tedium inherent in the film's high concept.
"Oct 2, 2022",Chicago Tribune,0,0,0,SMOKY SOLITUDE: HOW TO ESCAPE THE CROWD AT THE NATION'S MOST-VISITED NATIONAL PARK
"Dec 10, 2022",New York Times,0,0,0,"After Isolation, Xi Is Mending Global Fences: [Correction]"
"Dec 13, 2022",Wall Street Journal (Online),0,0,0,Prison Stocks Get Out of Solitary; The controversial sector gets a lift from 'Big Short' investor Michael Burry
"Feb 3, 2020",The Washington Post,0,0,0,Isolation of China grows with travel bans
"Feb 9, 2020",Wall Street Journal (Online),0,0,0,"On a Coronavirus Cruise, a Knock on the Door: 'You Tested Positive'; American Rebecca Frasure lands in the isolation ward of a Tokyo hospital, while her husband is quarantined in his cabin"
"Feb 10, 2020",Wall Street Journal (Online),0,0,0,"North Korea Deepens Isolation Amid Virus Threat; Nation has blocked foreign tourists, cut trade with China and curbed diplomatic travel as the coronavirus spreads"
