ID,Title,Date,Step1_Coder1,Step1_Coder2,Step1_TieBreaker,Step2_Coder1,Step2_Coder2,Step2_TieBreaker,CouldNotFindFullText
1,Daughter left behind tells her memoir in letters: NONFICTION: Language serves as a fortress of solitude for child whose parents returned to South Korea.,1/5/20,1,1,1,0,0,0,
2,A solitary sentinel,1/10/20,1,1,1,0,0,0,
3,"Minorities sent to solitary more often: Black, Indian inmates face disproportionately higher rates.",1/18/20,1,1,1,0,0,0,
4,Give him his alone time and ask for the same,1/19/20,1,1,1,0,0,0,
6,Growing Risk to America's Seniors: Themselves; Government agencies attribute problem in part to isolation from families and communities,2/11/20,1,1,1,1,1,1,
7,Shopping for a chaise: Here's how to find a little solitude,2/13/20,1,1,1,0,0,0,
8,A Musical Interlude From Isolation Over Skype: [Foreign Desk],2/15/20,1,1,1,1,1,1,
9,Coronavirus Cabin Fever: Working From Home Tests Employees' Endurance; Days of isolation—or with the children underfoot; 'It's another full-time job trying to manage it all',2/17/20,1,1,1,1,1,1,
10,Fourteen Days of Solitude: A Diary: [National Desk],2/22/20,1,1,1,0,0,0,
11,"Risks of Loneliness Among Seniors Aren't Being Adequately Addressed, Report Warns; Research shows social isolation is associated with increased chances for early death, advisory group says",2/27/20,1,0,1,1,1,1,
12,The Internet Can't Save Us From Loneliness in Pandemic; Forced isolation only deepens the emptiness we often feel when communicating by screen,3/13/20,1,1,1,0,0,0,
13,Seniors face fear and isolation amid outbreak; Asian Americans are a particularly hard-hit group,3/16/20,1,1,1,0,0,0,
14,"Can't make AA? Stay in touch, community urges; For people in recovery, isolation can be its own risk",3/17/20,1,1,1,1,0,0,
15,Feeling down? You're not alone,3/17/20,1,1,1,0,0,0,
16,How I Made Self-Isolation Less Lonely: [Op-Ed],3/17/20,1,1,1,1,1,1,
17,Challenge for Urban Dwellers: Social Isolation at a Moment to Come Together: [Foreign Desk],3/18/20,1,1,1,1,0,0,
18,"Pregnant, unsure what to expect: Area women share concerns about virus even as isolation to combat its spread strains already fraught time",3/19/20,1,1,1,0,0,0,
19,Home isolation is fertile ground for domestic abuse,3/19/20,1,1,1,1,1,1,
20,"Togetherness amid the isolation: Slo 'Mo, Chicago's baddest LGBTQ dance party, is going digital so you can shimmy while at home",3/20/20,1,1,1,0,0,0,
21,"Two Books on Solitude: They Want to Be Alone; We seem either to mock or idolize solitaries, perhaps because perceiving them as ordinary might require us to question the cocoon of noise with which we surround ourselves.",3/20/20,1,1,1,1,1,1,
22,Covering Communities in Isolation: [Metropolitan Desk],3/20/20,1,1,1,0,0,0,
23,Tampa patient: Isolation led to appreciation,3/21/20,1,1,1,0,0,0,
24,"How isolation can impact your mood, and what to do about it",3/22/20,1,1,1,1,1,1,
25,"Eating alone, together: Breaking bread virtually is helping people fight isolation",3/23/20,1,1,1,1,1,1,
26,Stay solitary. Stay home.: Because cheaters imperil the rest of us.,3/24/20,0,1,1,0,0,0,
27,"To Some, Cost of Prolonged Isolation Is Too High: [Foreign Desk]",3/24/20,1,1,1,0,0,0,
