id,varname,description
var1,X...CASE,"Participant ID"
var2,SERIAL,"Participant ID"
var3,REF,"Prolific ID"
var4,QUESTNNR,"Questionnaire Number"
var5,MODE,"Questionnaire Mode"
var6,STARTED,"When was the questionnaire started"
var7,SD01,"Gender (1 = Male, 2 = Female, 3 = Other)"
var8,SD02_01,"Age of Participant"
var9,SD03,"Education (please see the attached codebook for more details)"
var10,SD03_07,"Education (free text box)"
var11,EX01_01,Comments
var12,IN03,"Agreement for data collection"
var13,SC02_01,"Ski Scenario (Large - Purchase Likelihood)"
var14,SC02_02,"Ski Scenario (Large - Valuation)"
var15,SC03_01,"Ski Scenario (Small - Purchase Likelihood)"
var16,SC03_02,"Ski Scenario (Small - Valuation)"
var17,SC04_01,"Trip Scenario (Large - Purchase Likelihood)"
var18,SC04_02,"Trip Scenario (Large - Valuation)"
var19,SC05_01,"Trip Scenario (Small - Purchase Likelihood)"
var20,SC05_02,"Trip Scenario (Small - Valuation)"
var21,SC06_01,"Retirement Scenario (Large - Purchase Likelihood)"
var22,SC06_02,"Retirement Scenario (Large - Valuation)"
var23,SC07_01,"Retirement Scenario (Small - Purchase Likelihood)"
var24,SC07_02,"Retirement Scenario (Small - Valuation)"
var25,SC08_01,"Couch Scenario (Large - Purchase Likelihood)"
var26,SC08_02,"Couch Scenario (Large - Valuation)"
var27,SC09_01,"Couch Scenario (Small - Purchase Likelihood)"
var28,SC09_02,"Couch Scenario (Small - Valuation)"
var29,SC10_01,"Car Scenario (Large - Purchase Likelihood)"
var30,SC10_02,"Car Scenario (Large - Valuation)"
var31,SC11_01,"Car Scenario (Small - Purchase Likelihood)"
var32,SC11_02,"Car Scenario (Small - Valuation)"
var33,SC12_01,"Gym Scenario (Large - Purchase Likelihood)"
var34,SC12_02,"Gym Scenario (Large - Valuation)"
var35,SC13_01,"Gym Scenario (Small - Purchase Likelihood)"
var36,SC13_02,"Gym Scenario (Small - Valuation)"
var37,GR01_01,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var38,GR01_02,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var39,GR01_03,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var40,GR01_04,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var41,GR01_05,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var42,GR01_06,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var43,GR01_07,"GR01_01 - GR01_07: Dispositional Greed Scale (Rating of agreement on 1-5 scale)"
var44,IV01_01,"Operating System"
var45,TIME001,"TIME001 - TIME014: Duration of stay on questionnaire page"
var46,TIME002,"TIME001 - TIME014: Duration of stay on questionnaire page"
var47,TIME003,"TIME001 - TIME014: Duration of stay on questionnaire page"
var48,TIME005,"TIME001 - TIME014: Duration of stay on questionnaire page"
var49,TIME006,"TIME001 - TIME014: Duration of stay on questionnaire page"
var50,TIME007,"TIME001 - TIME014: Duration of stay on questionnaire page"
var51,TIME008,"TIME001 - TIME014: Duration of stay on questionnaire page"
var52,TIME009,"TIME001 - TIME014: Duration of stay on questionnaire page"
var53,TIME010,"TIME001 - TIME014: Duration of stay on questionnaire page"
var54,TIME011,"TIME001 - TIME014: Duration of stay on questionnaire page"
var55,TIME012,"TIME001 - TIME014: Duration of stay on questionnaire page"
var56,TIME013,"TIME001 - TIME014: Duration of stay on questionnaire page"
var57,TIME014,"TIME001 - TIME014: Duration of stay on questionnaire page"
var58,TIME_SUM,"Total time in questionnaire"
var59,MAILSENT,"Whether "
var60,LASTDATA,"When was the data last changed"
var61,FINISHED,"When did the participant finish the questionnaire"
var62,Q_VIEWER,"Was the questionnaire viewed vs. necessary questions answered"
var63,LASTPAGE,"Last page of questionnaire"
var64,MAXPAGE,"Last page of questionnaire that was edited"
var65,MISSING,"Percentage of missing data"
var66,MISSREL,"Percentage of missign data (weighted in relevance)"
var67,TIME_RSI,"Relative time of answering items"
var68,DEG_TIME,"Time in questionnaire"
